mode_str,n_rows,median_loss,mean_loss,win_rate,fail_rate,median_gscore,median_tscore,median_gap_opt,median_time_opt,best_gap_rate,best_time_rate
RLT_SOC_directional_X,23,0.11435948882736804,0.17087336201120526,0.30434782608695654,0.043478260869565216,0.017141320287679732,0.12591820827772693,2.1004500000000004,0.007350000000000001,0.6280885780885781,0.0
RLT_SOC2x2_full_XU,23,0.11848177107902254,0.15780375102254923,0.08695652173913043,0.0,0.04645336613138514,0.1705845562735134,6.6362,0.01,0.2947552447552447,0.0
RLT_SOC2x2_full_X,23,0.12068809483653373,0.14365784024024839,0.13043478260869565,0.0,0.046453735257118225,0.12361692276070563,6.6362,0.0128,0.2947552447552447,1.0
RLT_SOC_hybrid_X,23,0.12213552387457284,0.16351982874637458,0.13043478260869565,0.0,0.020001446972873687,0.22087067121507786,2.1897,0.01,0.6280885780885781,0.0
RLT_SOC_directional_XU,23,0.13579273483890517,0.2134120519902622,0.043478260869565216,0.043478260869565216,0.01714130894643601,0.25202164317893894,2.1005000000000003,0.01175,0.6280885780885781,0.0
RLT_SOC_hybrid_XU,23,0.15140621298759993,0.2183619309208742,0.0,0.043478260869565216,0.012055150092377653,0.274243780026312,2.1005000000000003,0.01005,0.6280885780885781,0.0
RLT_SOC2x2_diag_XU,23,0.1629431559540539,0.23721240018922501,0.17391304347826086,0.043478260869565216,0.20716312534785414,0.06689244467435465,33.3248,0.00985,0.20384615384615384,2.5
RLT_SOC2x2_diag_X,23,0.19318113136203097,0.24457874278334032,0.08695652173913043,0.043478260869565216,0.20716226709515362,0.11593264827598551,33.3249,0.008400000000000001,0.20384615384615384,4.0
RLT_blockSDP_X,23,0.3072421359997515,0.31159349420936044,0.0,0.0,0.004108853211881618,0.567524198346033,0.2327,0.023,1.4947552447552446,0.0
RLT_PSD3x3_X,23,0.333244110784814,0.33701422304238493,0.0,0.0,0.00410886455312534,0.6133182931349823,2.0739,0.0235,1.1614219114219113,0.0
RLT_PSD3x3_XU,23,0.3918513568869425,0.39253802534566556,0.0,0.0,0.00410886455312534,0.6932638335622029,2.0739,0.0296,0.828088578088578,0.0
RLT_blockSDP_XU,23,0.3960941799100934,0.3869796299012745,0.0,0.0,0.00410886455312534,0.7198584040292875,0.2327,0.0287,1.4947552447552446,0.0
RLT_full_SDP,23,0.5,0.4821462094701072,0.0,0.0,0.0,1.0,0.0,0.0484,14.161421911421911,0.0
RLT_SOC2x2_diag_U,23,0.5339784615894085,0.5506194611128573,0.043478260869565216,0.043478260869565216,1.0,0.061824552032887045,208.2451,0.007949999999999999,0.05,6.5
RLT_SOC2x2_full_U,23,0.5423686190174034,0.5390366045859073,0.0,0.0,0.9999999904566361,0.09155888745091036,220.9462,0.009,0.05,5.0
RLT_SOC_directional_U,23,0.5719515346126088,0.5786305220882635,0.0,0.0,0.9999999968468476,0.15503612803421588,220.9462,0.0081,0.05,0.0
RLT,23,0.5743116406884896,0.5665670890016112,0.0,0.0,1.0,0.1767089221981639,220.9462,0.009,0.05,4.0
RLT_SOC_hybrid_U,23,0.5849002156851022,0.595881674350619,0.0,0.043478260869565216,1.0,0.17019249382185891,208.2493,0.00805,0.05,0.0
RLT_blockSDP_U,23,0.7974553990082323,0.7770049564621869,0.0,0.043478260869565216,1.0,0.5779927738857265,208.24935,0.02525,0.05,0.0
RLT_PSD3x3_U,23,0.85524313222668,0.8151101240909986,0.0,0.0,1.0,0.71048626445336,220.9462,0.033,0.05,0.0
