mode_str,total_instances,diff_count,diff_rate,max_abs_gap_diff_all,median_abs_gap_diff_diffonly,mean_abs_gap_diff_diffonly,max_abs_gap_diff_diffonly
RLT_SOC2x2_diag_U,23,3,0.13043478260869565,5.905099999999948,4.687649999999849,4.687649999999849,5.905099999999948
RLT_SOC_hybrid_U,23,3,0.13043478260869565,5.90520000000015,4.687500000000455,4.687500000000455,5.90520000000015
RLT,23,2,0.08695652173913043,5.9050000000002,4.68740000000048,4.68740000000048,5.9050000000002
RLT_SOC2x2_diag_X,23,2,0.08695652173913043,1.6874000000000002,1.6874000000000002,1.6874000000000002,1.6874000000000002
RLT_SOC2x2_diag_XU,23,2,0.08695652173913043,1.6874000000000002,1.6874000000000002,1.6874000000000002,1.6874000000000002
RLT_SOC2x2_full_U,23,2,0.08695652173913043,5.90520000000015,4.6878499999997985,4.6878499999997985,5.90520000000015
RLT_SOC_directional_X,23,2,0.08695652173913043,1.7240000000000464,1.7240000000000464,1.7240000000000464,1.7240000000000464
RLT_SOC_directional_U,23,2,0.08695652173913043,5.90520000000015,4.687449999999899,4.687449999999899,5.90520000000015
RLT_SOC_directional_XU,23,2,0.08695652173913043,1.7240000000000464,1.7240000000000464,1.7240000000000464,1.7240000000000464
RLT_SOC_hybrid_X,23,2,0.08695652173913043,1.7239000000000146,1.7239000000000146,1.7239000000000146,1.7239000000000146
RLT_SOC_hybrid_XU,23,2,0.08695652173913043,1.7239000000000146,1.7239000000000146,1.7239000000000146,1.7239000000000146
RLT_PSD3x3_U,23,2,0.08695652173913043,5.904899999999998,4.687650000000076,4.687650000000076,5.904899999999998
RLT_blockSDP_U,23,2,0.08695652173913043,3.4702000000015687,3.4702000000015687,3.4702000000015687,3.4702000000015687
RLT_SOC2x2_full_X,23,1,0.043478260869565216,1.5784999999999627,1.5784999999999627,1.5784999999999627,1.5784999999999627
RLT_SOC2x2_full_XU,23,1,0.043478260869565216,1.5784999999999627,1.5784999999999627,1.5784999999999627,1.5784999999999627
RLT_PSD3x3_X,23,1,0.043478260869565216,1.7241000000000213,1.7241000000000213,1.7241000000000213,1.7241000000000213
RLT_PSD3x3_XU,23,1,0.043478260869565216,1.7241000000000213,1.7241000000000213,1.7241000000000213,1.7241000000000213
RLT_blockSDP_X,23,1,0.043478260869565216,1.7240000000000464,1.7240000000000464,1.7240000000000464,1.7240000000000464
RLT_blockSDP_XU,23,1,0.043478260869565216,1.0357000000000198,1.0357000000000198,1.0357000000000198,1.0357000000000198
RLT_full_SDP,23,1,0.043478260869565216,1.3040000000000003,1.3040000000000003,1.3040000000000003,1.3040000000000003
