inst_id,inst_label,mode_str,EU_status,IU_status,EU_obj,IU_obj,EU_gap,IU_gap,EU_time_sec,IU_time_sec,abs_obj_diff
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-2565.479567987672,-2566.5686045210427,88.7538,88.8339,0.0152,0.0163,1.089036533370745
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_directional_XU,OPTIMAL,OPTIMAL,-2565.4795713026597,-2566.5686068284263,88.7538,88.8339,0.0189,0.0232,1.089035525766576
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_hybrid_X,OPTIMAL,OPTIMAL,-2561.9184045789584,-2562.997401803805,88.4917,88.5711,0.0272,0.017,1.0789972248467166
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,-2561.9184092558844,-2562.997417621738,88.4917,88.5711,0.0312,0.0252,1.0790083658534968
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_PSD3x3_X,OPTIMAL,OPTIMAL,-2413.450914780584,-2415.798043773987,77.5683,77.741,0.0775,0.0908,2.347128993403203
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_PSD3x3_XU,OPTIMAL,OPTIMAL,-2413.4509015505023,-2415.7979794450594,77.5683,77.741,0.0956,0.0839,2.34707789455706
9,n10_rho8_B_LI_LE_QI_QE_NCVX_seed8,RLT_full_SDP,OPTIMAL,OPTIMAL,-1473.8759339216242,-1491.5989906387172,8.4396,9.7436,0.2939,0.3898,17.72305671709296
14,n8_rho3_B_LI2_LE2_CVX_seed104,RLT_SOC2x2_diag_U,OPTIMAL,OPTIMAL,-10.955092370388623,-10.955118633625158,440.0785,440.0798,0.0164,0.0218,2.6263236534873613e-5
14,n8_rho3_B_LI2_LE2_CVX_seed104,RLT_SOC2x2_diag_XU,OPTIMAL,OPTIMAL,-3.14401864961734,-3.144011110836558,54.9979,54.9976,0.0134,0.0156,7.538780781857213e-6
14,n8_rho3_B_LI2_LE2_CVX_seed104,RLT_SOC_directional_X,OPTIMAL,OPTIMAL,-2.679356418638318,-2.6793528808001428,32.0904,32.0902,0.0202,0.0333,3.5378381753048416e-6
15,n8_rho3_B_LI_NCVX_seed105,RLT_SOC2x2_diag_X,OPTIMAL,OPTIMAL,-5.119007428295883,-5.119014473894177,10.7114,10.7116,0.0083,0.0104,7.04559829411977e-6
16,n6_rho4_P_LI2_CVX_seed106,RLT,OPTIMAL,OPTIMAL,-111.46874383919805,-111.51311254211558,8817.375,8820.8448,0.0067,0.007,0.044368702917523706
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC2x2_diag_U,OPTIMAL,OPTIMAL,-111.46872907151752,-111.51310161626579,8817.3738,8820.844,0.0096,0.0105,0.04437254474827057
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC2x2_full_U,OPTIMAL,OPTIMAL,-111.46873294194467,-111.51310967778636,8817.3741,8820.8446,0.009,0.0072,0.04437673584169488
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC_directional_U,OPTIMAL,OPTIMAL,-111.46872479326144,-111.51309210624865,8817.3735,8820.8432,0.0072,0.0078,0.04436731298720531
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC_directional_XU,OPTIMAL,OPTIMAL,0.8154357901379266,0.8154342046244647,36.2291,36.2292,0.0092,0.0131,1.5855134618547595e-6
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC_hybrid_X,OPTIMAL,OPTIMAL,0.8154329737581447,0.8154341515374393,36.2293,36.2293,0.0104,0.0099,1.1777792945366627e-6
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC_hybrid_U,OPTIMAL,OPTIMAL,-111.46872512414348,-111.51309294418579,8817.3735,8820.8433,0.008,0.0085,0.04436782004231077
16,n6_rho4_P_LI2_CVX_seed106,RLT_SOC_hybrid_XU,OPTIMAL,OPTIMAL,0.8154334842690947,0.8154368894323119,36.2293,36.229,0.01,0.0096,3.405163217173879e-6
