mode_str,avg_gscore,avg_tscore,avg_loss
RLT_SOC2x2_full_X,0.16387189341224656,0.15498297180066142,0.159427432606454
RLT_SOC2x2_full_XU,0.1638724896377229,0.2002652271578694,0.1820688583977962
RLT_SOC_directional_XU,0.13669052003364923,0.2396144433515248,0.18815248169258703
RLT_SOC_directional_X,0.17019864996004638,0.20984218681212577,0.19002041838608608
RLT_SOC_hybrid_X,0.16331447030587848,0.28762857810612613,0.22547152420600233
RLT_SOC_hybrid_XU,0.16331447675719046,0.29157616933286984,0.22744532304503018
RLT_SOC2x2_diag_XU,0.31803777999737987,0.13869841220836515,0.22836809610287248
RLT_SOC2x2_diag_X,0.31803709123839946,0.14878384194830266,0.23341046659335105
RLT_blockSDP_X,0.04939623716898785,0.5991031301710259,0.3242496836700069
RLT_PSD3x3_X,0.11781221455319656,0.5946860849768943,0.35624914976504546
RLT_blockSDP_XU,0.04938190376412823,0.6805439486761441,0.3649629262201362
RLT_PSD3x3_XU,0.11781225888320095,0.704740615761578,0.4112764373223895
RLT_full_SDP,0.018831742366706036,0.9297826424497163,0.47430719240821123
RLT_SOC2x2_full_U,0.999998778364019,0.08669562603736043,0.5433472022006898
RLT,0.999999487974885,0.10983866098869846,0.5549190744817918
RLT_SOC_directional_U,0.9999991608235249,0.1363446356286097,0.5681718982260673
RLT_SOC2x2_diag_U,0.9999966959647154,0.13938602208412396,0.5696913590244196
RLT_SOC_hybrid_U,0.9999990956392509,0.17285763801442802,0.5864283668268395
RLT_blockSDP_U,0.9559748098644237,0.6349137281225571,0.7954442689934903
RLT_PSD3x3_U,0.9999992765391741,0.6060367578156063,0.8030180171773901
