inst_id,inst_label,n,rho,mode,EU_status,EU_obj,EU_gap,EU_time_sec,IU_status,IU_obj,IU_gap,IU_time_sec,exact_status,exact_obj,exact_time_sec
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_SOC_directional_X,OPTIMAL,-75.28377680401283,0.0,0.0052,OPTIMAL,-75.28377682296924,0.0,0.0081,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_SOC_directional_U,OPTIMAL,-87.89452198390138,16.7509,0.0046,OPTIMAL,-87.89452029942335,16.7509,0.0084,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_SOC_directional_XU,OPTIMAL,-75.28377704954795,0.0,0.0094,OPTIMAL,-75.28377698445784,0.0,0.0073,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_SOC_hybrid_X,OPTIMAL,-75.28377690244028,0.0,0.0066,OPTIMAL,-75.28377677810093,0.0,0.006,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_SOC_hybrid_U,OPTIMAL,-87.89452230016992,16.7509,0.0059,OPTIMAL,-87.89452046486925,16.7509,0.0059,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_SOC_hybrid_XU,OPTIMAL,-75.28377737720179,0.0,0.0073,OPTIMAL,-75.28377763586617,0.0,0.0078,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_PSD3x3_X,OPTIMAL,-75.28377689094165,0.0,0.0629,OPTIMAL,-75.28377794854543,0.0,0.0211,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_PSD3x3_U,OPTIMAL,-87.89452142597925,16.7509,0.0305,OPTIMAL,-87.8945203937533,16.7509,0.0215,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_PSD3x3_XU,OPTIMAL,-75.28377711776983,0.0,0.0187,OPTIMAL,-75.28377711365282,0.0,0.0191,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_blockSDP_X,OPTIMAL,-75.28377685794297,0.0,0.0137,OPTIMAL,-75.28377692514869,0.0,0.018,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_blockSDP_U,OPTIMAL,-87.89452068148074,16.7509,0.011,OPTIMAL,-87.89452031159114,16.7509,0.0139,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_blockSDP_XU,OPTIMAL,-75.28377687053552,0.0,0.0164,OPTIMAL,-75.28377687567789,0.0,0.0192,OPTIMAL,-75.28377673410895,0.0618
2,n7_rho4_S_LI_LE_CVX_seed1,7,4.0,RLT_full_SDP,OPTIMAL,-75.2837767414336,0.0,0.0305,OPTIMAL,-75.28377721276193,0.0,0.034,OPTIMAL,-75.28377673410895,0.0618
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT,OPTIMAL,-1730.2818513639154,146698.7966,0.0047,OPTIMAL,-1730.2818511960097,146698.7966,0.0035,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC2x2_diag_X,OPTIMAL,-120.90016331684012,10157.2875,0.0033,OPTIMAL,-120.90016331803938,10157.2875,0.0044,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC2x2_diag_U,OPTIMAL,-1730.2818465233527,146698.7962,0.003,OPTIMAL,-1730.281849776851,146698.7964,0.0031,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC2x2_diag_XU,OPTIMAL,-120.90016329424917,10157.2875,0.0038,OPTIMAL,-120.90016347067748,10157.2876,0.0035,OPTIMAL,-1.1786757737820897,0.0063
3,n4_rho3_B_LI_CVX_seed2,4,3.0,RLT_SOC2x2_full_X,OPTIMAL,-1.2403494909871693,5.2325,0.0035,OPTIMAL,-1.2403495252279324,5.2325,0.0045,OPTIMAL,-1.1786757737820897,0.0063
